	segment_id	sig_max	major_cn	minor_cn	N1	N2
48	chr10:40640102-47820000	SBS5	1	1	18	0
49	chr10:47820001-48648310	SBS3	1	0	5	0
50	chr10:47820001-48648310	SBS5	1	0	1	0
51	chr10:48648311-50305000	SBS1	1	1	1	0
52	chr10:48648311-50305000	SBS18	1	1	2	0
53	chr10:48648311-50305000	SBS3	1	1	2	0
54	chr10:48648311-50305000	SBS5	1	1	2	0
55	chr10:50305001-50790000	SBS3	1	1	3	0
56	chr10:50305001-50790000	SBS5	1	1	1	0
57	chr10:50790001-57303330	SBS1	1	1	1	0
58	chr10:50790001-57303330	SBS18	1	1	2	0
59	chr10:50790001-57303330	SBS3	1	1	17	0
60	chr10:50790001-57303330	SBS5	1	1	9	0
61	chr10:5507500-11595960	SBS1	2	1	0	1
62	chr10:5507500-11595960	SBS18	2	1	1	0
63	chr10:5507500-11595960	SBS3	2	1	15	5
64	chr10:5507500-11595960	SBS5	2	1	6	2
65	chr10:57303370-62982414	SBS1	1	1	1	0
66	chr10:57303370-62982414	SBS3	1	1	12	0
67	chr10:57303370-62982414	SBS5	1	1	3	0
68	chr10:63302814-68876154	SBS1	1	0	2	0
69	chr10:63302814-68876154	SBS3	1	0	9	0
70	chr10:63302814-68876154	SBS5	1	0	5	0
71	chr10:69296475-72052646	SBS3	1	1	6	0
72	chr10:69296475-72052646	SBS5	1	1	4	0
73	chr10:72052647-87932334	SBS1	1	0	4	0
74	chr10:72052647-87932334	SBS18	1	0	1	0
75	chr10:72052647-87932334	SBS3	1	0	23	0
76	chr10:72052647-87932334	SBS5	1	0	13	0
77	chr10:87932576-94522161	SBS1	1	0	5	0
78	chr10:87932576-94522161	SBS18	1	0	1	0
79	chr10:87932576-94522161	SBS3	1	0	12	0
80	chr10:87932576-94522161	SBS5	1	0	9	0
81	chr10:94522162-106065871	SBS1	1	1	2	0
82	chr10:94522162-106065871	SBS18	1	1	4	0
83	chr10:94522162-106065871	SBS3	1	1	30	0
84	chr10:94522162-106065871	SBS5	1	1	11	0
85	chr11:1-3672066	SBS1	1	0	2	0
86	chr11:1-3672066	SBS18	1	0	1	0
87	chr11:1-3672066	SBS3	1	0	14	0
88	chr11:1-3672066	SBS5	1	0	9	0
89	chr11:108584109-135086622	SBS1	1	0	8	0
90	chr11:108584109-135086622	SBS18	1	0	4	0
91	chr11:108584109-135086622	SBS3	1	0	53	0
92	chr11:108584109-135086622	SBS5	1	0	17	0
93	chr11:11766763-12783754	SBS3	1	1	2	0
94	chr11:12791836-13469000	SBS3	1	1	4	0
95	chr11:13642001-14091616	SBS3	1	1	2	0
96	chr11:14115611-15423233	SBS18	1	1	1	0
97	chr11:14115611-15423233	SBS3	1	1	4	0
98	chr11:14115611-15423233	SBS5	1	1	3	0
99	chr11:15423273-18760076	SBS3	1	1	5	0
100	chr11:15423273-18760076	SBS5	1	1	2	0
101	chr11:18760114-19545000	SBS3	1	1	2	0
102	chr11:18760114-19545000	SBS5	1	1	1	0
103	chr11:19545001-20139000	SBS18	1	1	1	0
104	chr11:20139001-20789976	SBS18	1	1	1	0
105	chr11:20139001-20789976	SBS5	1	1	1	0
106	chr11:21480490-22351000	SBS3	1	0	1	0
107	chr11:22390244-23881032	SBS3	1	0	1	0
108	chr11:22390244-23881032	SBS5	1	0	1	0
109	chr11:23992890-29310919	SBS3	1	0	7	0
110	chr11:23992890-29310919	SBS5	1	0	1	0
111	chr11:29310920-33687000	SBS1	1	1	3	0
112	chr11:29310920-33687000	SBS18	1	1	1	0
113	chr11:29310920-33687000	SBS3	1	1	16	0
114	chr11:29310920-33687000	SBS5	1	1	7	0
115	chr11:33739001-41473488	SBS1	1	1	2	0
116	chr11:33739001-41473488	SBS18	1	1	2	0
117	chr11:33739001-41473488	SBS3	1	1	13	0
118	chr11:33739001-41473488	SBS5	1	1	6	0
119	chr11:3675132-4853168	SBS18	1	0	2	0
120	chr11:3675132-4853168	SBS3	1	0	4	0
121	chr11:3675132-4853168	SBS5	1	0	1	0
122	chr11:41479028-42465710	SBS18	1	1	1	0
123	chr11:41479028-42465710	SBS3	1	1	4	0
124	chr11:41479028-42465710	SBS5	1	1	1	0
125	chr11:42466007-45180181	SBS18	1	1	1	0
126	chr11:42466007-45180181	SBS3	1	1	8	0
127	chr11:42466007-45180181	SBS5	1	1	1	0
128	chr11:45180340-48207062	SBS3	1	1	13	0
129	chr11:45180340-48207062	SBS5	1	1	1	0
130	chr11:48207063-49327863	SBS18	1	0	1	0
131	chr11:48207063-49327863	SBS3	1	0	11	0
132	chr11:48207063-49327863	SBS5	1	0	1	0
133	chr11:4853338-8460668	SBS1	1	0	2	0
134	chr11:4853338-8460668	SBS3	1	0	6	0
135	chr11:4853338-8460668	SBS5	1	0	3	0
136	chr11:49336667-49862396	SBS1	1	0	1	0
137	chr11:49336667-49862396	SBS3	1	0	2	0
138	chr11:49862397-50036527	SBS1	1	1	1	0
139	chr11:49862397-50036527	SBS3	1	1	1	0
140	chr11:49862397-50036527	SBS5	1	1	2	0
141	chr11:50036528-52751710	SBS3	1	0	9	0
142	chr11:50036528-52751710	SBS5	1	0	6	0
143	chr11:52751711-54645983	SBS3	1	0	3	0
144	chr11:54694754-54977922	SBS3	1	0	1	0
145	chr11:54977923-60524292	SBS1	1	1	2	0
146	chr11:54977923-60524292	SBS18	1	1	2	0
147	chr11:54977923-60524292	SBS3	1	1	19	0
148	chr11:54977923-60524292	SBS5	1	1	4	0
149	chr11:60524331-71060769	SBS1	1	1	5	0
150	chr11:60524331-71060769	SBS18	1	1	5	0
151	chr11:60524331-71060769	SBS3	1	1	43	0
152	chr11:60524331-71060769	SBS5	1	1	18	0
153	chr11:71060770-82857648	SBS1	1	1	4	0
154	chr11:71060770-82857648	SBS18	1	1	6	0
155	chr11:71060770-82857648	SBS3	1	1	30	0
156	chr11:71060770-82857648	SBS5	1	1	24	0
157	chr11:82857649-108584054	SBS1	1	0	4	0
158	chr11:82857649-108584054	SBS18	1	0	4	0
159	chr11:82857649-108584054	SBS3	1	0	44	0
160	chr11:82857649-108584054	SBS5	1	0	28	0
161	chr11:8460669-11766719	SBS1	1	1	2	0
162	chr11:8460669-11766719	SBS18	1	1	2	0
163	chr11:8460669-11766719	SBS3	1	1	8	0
164	chr11:8460669-11766719	SBS5	1	1	7	0
165	chr12:1-4417890	SBS1	2	0	0	1
166	chr12:1-4417890	SBS18	2	0	0	1
167	chr12:1-4417890	SBS3	2	0	12	4
168	chr12:1-4417890	SBS5	2	0	2	1
169	chr12:117126837-119798297	SBS1	1	0	2	0
170	chr12:117126837-119798297	SBS18	1	0	2	0
171	chr12:117126837-119798297	SBS3	1	0	5	0
172	chr12:117126837-119798297	SBS5	1	0	5	0
173	chr12:119798298-120526627	SBS3	2	0	1	0
174	chr12:120526628-133275309	SBS1	1	0	7	0
175	chr12:120526628-133275309	SBS18	1	0	3	0
176	chr12:120526628-133275309	SBS3	1	0	39	0
177	chr12:120526628-133275309	SBS5	1	0	21	0
178	chr12:27872538-31119484	SBS3	1	0	7	0
179	chr12:27872538-31119484	SBS5	1	0	3	0
180	chr12:31119515-33531130	SBS1	1	0	1	0
181	chr12:31119515-33531130	SBS18	1	0	1	0
182	chr12:31119515-33531130	SBS3	1	0	4	0
183	chr12:31119515-33531130	SBS5	1	0	4	0
184	chr12:33540629-35977329	SBS3	1	0	5	0
185	chr12:33540629-35977329	SBS5	1	0	1	0
186	chr12:35977330-44542370	SBS1	1	0	2	0
187	chr12:35977330-44542370	SBS18	1	0	1	0
188	chr12:35977330-44542370	SBS3	1	0	18	0
189	chr12:35977330-44542370	SBS5	1	0	3	0
190	chr12:4417891-27857996	SBS1	1	0	13	0
191	chr12:4417891-27857996	SBS18	1	0	3	0
192	chr12:4417891-27857996	SBS3	1	0	46	0
193	chr12:4417891-27857996	SBS5	1	0	29	0
194	chr12:44542371-68609435	SBS1	1	0	8	0
195	chr12:44542371-68609435	SBS18	1	0	6	0
196	chr12:44542371-68609435	SBS3	1	0	40	0
197	chr12:44542371-68609435	SBS5	1	0	21	0
198	chr12:68609483-71963000	SBS1	1	0	1	0
199	chr12:68609483-71963000	SBS18	1	0	1	0
200	chr12:68609483-71963000	SBS3	1	0	9	0
201	chr12:68609483-71963000	SBS5	1	0	2	0
202	chr12:71963001-117126770	SBS1	1	0	7	0
203	chr12:71963001-117126770	SBS18	1	0	10	0
204	chr12:71963001-117126770	SBS3	1	0	76	0
205	chr12:71963001-117126770	SBS5	1	0	29	0
206	chr13:110350050-114364328	SBS1	1	1	2	0
207	chr13:110350050-114364328	SBS18	1	1	4	0
208	chr13:110350050-114364328	SBS3	1	1	10	0
209	chr13:110350050-114364328	SBS5	1	1	6	0
210	chr13:17025624-30482808	SBS1	1	0	6	0
211	chr13:17025624-30482808	SBS18	1	0	7	0
212	chr13:17025624-30482808	SBS3	1	0	45	0
213	chr13:17025624-30482808	SBS5	1	0	29	0
214	chr13:30483672-39350716	SBS1	1	0	3	0
215	chr13:30483672-39350716	SBS3	1	0	18	0
216	chr13:30483672-39350716	SBS5	1	0	8	0
217	chr13:39351024-43156262	SBS1	1	0	4	0
218	chr13:39351024-43156262	SBS18	1	0	1	0
219	chr13:39351024-43156262	SBS3	1	0	15	0
220	chr13:39351024-43156262	SBS5	1	0	2	0
221	chr13:43156300-52078590	SBS1	1	0	5	0
222	chr13:43156300-52078590	SBS18	1	0	4	0
223	chr13:43156300-52078590	SBS3	1	0	26	0
224	chr13:43156300-52078590	SBS5	1	0	12	0
225	chr13:52078630-63741799	SBS1	1	0	1	0
226	chr13:52078630-63741799	SBS18	1	0	1	0
227	chr13:52078630-63741799	SBS3	1	0	14	0
228	chr13:52078630-63741799	SBS5	1	0	4	0
229	chr13:63741800-75825676	SBS1	1	0	6	0
230	chr13:63741800-75825676	SBS18	1	0	1	0
231	chr13:63741800-75825676	SBS3	1	0	29	0
232	chr13:63741800-75825676	SBS5	1	0	15	0
233	chr13:75947620-77649751	SBS3	1	0	1	0
234	chr13:75947620-77649751	SBS5	1	0	2	0
235	chr13:77649752-80760998	SBS1	1	1	1	0
236	chr13:77649752-80760998	SBS18	1	1	1	0
237	chr13:77649752-80760998	SBS3	1	1	5	0
238	chr13:77649752-80760998	SBS5	1	1	4	0
239	chr13:80761454-83055665	SBS3	1	1	7	0
240	chr13:80761454-83055665	SBS5	1	1	5	0
241	chr13:83055759-85760900	SBS1	1	1	1	0
242	chr13:83055759-85760900	SBS18	1	1	1	0
243	chr13:83055759-85760900	SBS3	1	1	5	0
244	chr13:83055759-85760900	SBS5	1	1	3	0
245	chr13:85763440-110349998	SBS1	1	1	12	0
246	chr13:85763440-110349998	SBS18	1	1	15	0
247	chr13:85763440-110349998	SBS3	1	1	70	0
248	chr13:85763440-110349998	SBS5	1	1	25	0
249	chr14:1-17086761	SBS3	1	0	2	0
250	chr14:17086762-28825327	SBS1	1	0	1	0
251	chr14:17086762-28825327	SBS18	1	0	4	0
252	chr14:17086762-28825327	SBS3	1	0	9	0
253	chr14:17086762-28825327	SBS5	1	0	5	0
254	chr14:28825368-33420595	SBS3	1	0	6	0
255	chr14:33421144-40089027	SBS1	1	0	1	0
256	chr14:33421144-40089027	SBS18	1	0	1	0
257	chr14:33421144-40089027	SBS3	1	0	4	0
258	chr14:33421144-40089027	SBS5	1	0	5	0
259	chr14:40089077-51118444	SBS1	1	0	1	0
260	chr14:40089077-51118444	SBS18	1	0	2	0
261	chr14:40089077-51118444	SBS3	1	0	20	0
262	chr14:40089077-51118444	SBS5	1	0	5	0
263	chr14:51138820-63285650	SBS1	1	0	1	0
264	chr14:51138820-63285650	SBS18	1	0	2	0
265	chr14:51138820-63285650	SBS3	1	0	18	0
266	chr14:51138820-63285650	SBS5	1	0	6	0
267	chr14:63292816-107043718	SBS1	1	0	12	0
268	chr14:63292816-107043718	SBS18	1	0	7	0
269	chr14:63292816-107043718	SBS3	1	0	72	0
270	chr14:63292816-107043718	SBS5	1	0	47	0
271	chr15:1-18362626	SBS18	1	1	1	0
272	chr15:1-18362626	SBS3	1	1	7	0
273	chr15:1-18362626	SBS5	1	1	2	0
274	chr15:18362627-30831539	SBS1	1	1	11	0
275	chr15:18362627-30831539	SBS18	1	1	6	0
276	chr15:18362627-30831539	SBS3	1	1	52	0
277	chr15:18362627-30831539	SBS5	1	1	22	0
278	chr15:30896470-33351269	SBS3	1	1	2	0
279	chr15:30896470-33351269	SBS5	1	1	3	0
280	chr15:33355113-38834925	SBS1	1	1	3	0
281	chr15:33355113-38834925	SBS18	1	1	2	0
282	chr15:33355113-38834925	SBS3	1	1	9	0
283	chr15:33355113-38834925	SBS5	1	1	3	0
284	chr15:38834926-61968394	SBS1	1	0	8	0
285	chr15:38834926-61968394	SBS18	1	0	1	0
286	chr15:38834926-61968394	SBS3	1	0	39	0
287	chr15:38834926-61968394	SBS5	1	0	23	0
288	chr15:61973350-101991189	SBS1	1	0	8	0
289	chr15:61973350-101991189	SBS18	1	0	5	0
290	chr15:61973350-101991189	SBS3	1	0	69	0
291	chr15:61973350-101991189	SBS5	1	0	21	0
292	chr16:1-3810951	SBS1	2	0	2	0
293	chr16:1-3810951	SBS3	2	0	8	1
294	chr16:1-3810951	SBS5	2	0	6	0
295	chr16:23701001-28821934	SBS3	2	0	12	1
296	chr16:23701001-28821934	SBS5	2	0	2	1
297	chr16:28822829-35016000	SBS1	2	0	9	1
298	chr16:28822829-35016000	SBS18	2	0	2	0
299	chr16:28822829-35016000	SBS3	2	0	49	3
300	chr16:28822829-35016000	SBS5	2	0	42	0
301	chr16:35016001-37295919	SBS1	1	0	1	0
302	chr16:35016001-37295919	SBS18	1	0	1	0
303	chr16:35016001-37295919	SBS3	1	0	11	0
304	chr16:35016001-37295919	SBS5	1	0	9	0
305	chr16:3814333-6068368	SBS1	2	0	1	0
306	chr16:3814333-6068368	SBS18	2	0	3	0
307	chr16:3814333-6068368	SBS3	2	0	1	3
308	chr16:3814333-6068368	SBS5	2	0	7	0
309	chr16:6082097-23701000	SBS1	2	0	5	1
310	chr16:6082097-23701000	SBS18	2	0	2	2
311	chr16:6082097-23701000	SBS3	2	0	37	9
312	chr16:6082097-23701000	SBS5	2	0	23	5
313	chr17:1-1510425	SBS18	2	0	1	0
314	chr17:1-1510425	SBS3	2	0	2	0
315	chr17:1-1510425	SBS5	2	0	1	0
316	chr17:10920915-24849829	SBS1	1	1	8	0
317	chr17:10920915-24849829	SBS18	1	1	4	0
318	chr17:10920915-24849829	SBS3	1	1	47	0
319	chr17:10920915-24849829	SBS5	1	1	35	0
320	chr17:1528109-3645847	SBS1	1	0	2	0
321	chr17:1528109-3645847	SBS3	1	0	4	0
322	chr17:1528109-3645847	SBS5	1	0	6	0
323	chr17:24849830-33267409	SBS1	1	1	5	0
324	chr17:24849830-33267409	SBS18	1	1	3	0
325	chr17:24849830-33267409	SBS3	1	1	38	0
326	chr17:24849830-33267409	SBS5	1	1	17	0
327	chr17:33267410-46764786	SBS1	1	0	5	0
328	chr17:33267410-46764786	SBS18	1	0	2	0
329	chr17:33267410-46764786	SBS3	1	0	29	0
330	chr17:33267410-46764786	SBS5	1	0	11	0
331	chr17:3645891-10920914	SBS1	1	0	2	0
332	chr17:3645891-10920914	SBS18	1	0	1	0
333	chr17:3645891-10920914	SBS3	1	0	8	0
334	chr17:3645891-10920914	SBS5	1	0	5	0
335	chr17:47399805-57849000	SBS1	2	0	3	0
336	chr17:47399805-57849000	SBS18	2	0	3	0
337	chr17:47399805-57849000	SBS3	2	0	19	5
338	chr17:47399805-57849000	SBS5	2	0	15	4
339	chr17:58900706-59689405	SBS3	2	0	1	0
340	chr17:58900706-59689405	SBS5	2	0	1	0
341	chr17:59772999-64732018	SBS1	2	0	2	0
342	chr17:59772999-64732018	SBS18	2	0	1	0
343	chr17:59772999-64732018	SBS3	2	0	21	1
344	chr17:59772999-64732018	SBS5	2	0	7	0
345	chr17:64732019-65158000	SBS3	2	0	2	0
346	chr17:64732019-65158000	SBS5	2	0	2	0
347	chr17:65158001-66079302	SBS3	2	0	2	0
348	chr17:66079372-71824789	SBS1	2	0	2	0
349	chr17:66079372-71824789	SBS18	2	0	3	0
350	chr17:66079372-71824789	SBS3	2	0	4	2
351	chr17:66079372-71824789	SBS5	2	0	5	0
352	chr17:71825628-73757404	SBS3	2	0	3	1
353	chr17:71825628-73757404	SBS5	2	0	3	1
354	chr17:73762737-75019901	SBS1	2	0	1	0
355	chr17:73762737-75019901	SBS18	2	0	1	0
356	chr17:73762737-75019901	SBS3	2	0	2	0
357	chr17:75019974-75183505	SBS3	2	0	3	0
358	chr17:75019974-75183505	SBS5	2	0	1	0
359	chr17:75193131-83257441	SBS1	2	0	3	0
360	chr17:75193131-83257441	SBS18	2	0	2	1
361	chr17:75193131-83257441	SBS3	2	0	17	2
362	chr17:75193131-83257441	SBS5	2	0	6	1
363	chr18:1-18161052	SBS1	1	1	12	0
364	chr18:1-18161052	SBS18	1	1	8	0
365	chr18:1-18161052	SBS3	1	1	86	0
366	chr18:1-18161052	SBS5	1	1	39	0
367	chr18:18161053-26531452	SBS1	1	1	2	0
368	chr18:18161053-26531452	SBS18	1	1	1	0
369	chr18:18161053-26531452	SBS3	1	1	13	0
370	chr18:18161053-26531452	SBS5	1	1	6	0
371	chr18:26540684-26698921	SBS3	1	1	1	0
372	chr18:26699051-33650926	SBS1	1	1	3	0
373	chr18:26699051-33650926	SBS18	1	1	1	0
374	chr18:26699051-33650926	SBS3	1	1	14	0
375	chr18:26699051-33650926	SBS5	1	1	3	0
376	chr18:33651826-46480390	SBS1	1	1	1	0
377	chr18:33651826-46480390	SBS18	1	1	3	0
378	chr18:33651826-46480390	SBS3	1	1	31	0
379	chr18:33651826-46480390	SBS5	1	1	21	0
380	chr18:46480480-47538069	SBS3	1	1	1	0
381	chr18:46480480-47538069	SBS5	1	1	4	0
382	chr18:47538309-67313911	SBS1	1	1	5	0
383	chr18:47538309-67313911	SBS18	1	1	4	0
384	chr18:47538309-67313911	SBS3	1	1	59	0
385	chr18:47538309-67313911	SBS5	1	1	19	0
386	chr18:67315658-78934286	SBS1	1	1	5	0
387	chr18:67315658-78934286	SBS18	1	1	5	0
388	chr18:67315658-78934286	SBS3	1	1	39	0
389	chr18:67315658-78934286	SBS5	1	1	10	0
390	chr18:78934333-80373285	SBS1	1	1	2	0
391	chr18:78934333-80373285	SBS3	1	1	7	0
392	chr18:78934333-80373285	SBS5	1	1	3	0
393	chr19:1-712232	SBS3	1	1	1	0
394	chr19:1-712232	SBS5	1	1	1	0
395	chr19:11495149-16792932	SBS1	1	1	2	0
396	chr19:11495149-16792932	SBS3	1	1	16	0
397	chr19:11495149-16792932	SBS5	1	1	10	0
398	chr19:16792933-17954691	SBS1	1	1	1	0
399	chr19:16792933-17954691	SBS3	1	1	4	0
400	chr19:16792933-17954691	SBS5	1	1	1	0
401	chr19:17954728-25844926	SBS1	1	1	3	0
402	chr19:17954728-25844926	SBS18	1	1	2	0
403	chr19:17954728-25844926	SBS3	1	1	28	0
404	chr19:17954728-25844926	SBS5	1	1	13	0
405	chr19:1829464-2002196	SBS5	1	1	1	0
406	chr19:2009899-2737253	SBS1	1	1	1	0
407	chr19:2009899-2737253	SBS5	1	1	2	0
408	chr19:25844927-40788143	SBS1	1	1	9	0
409	chr19:25844927-40788143	SBS18	1	1	3	0
410	chr19:25844927-40788143	SBS3	1	1	54	0
411	chr19:25844927-40788143	SBS5	1	1	21	0
412	chr19:2739074-3481022	SBS3	1	1	2	0
413	chr19:2739074-3481022	SBS5	1	1	1	0
414	chr19:3481072-3885685	SBS1	1	1	1	0
415	chr19:3890113-4007928	SBS3	1	1	2	0
416	chr19:4007929-11495092	SBS1	1	1	5	0
417	chr19:4007929-11495092	SBS3	1	1	33	0
418	chr19:4007929-11495092	SBS5	1	1	8	0
419	chr19:40788144-40788961	SBS3	1	0	1	0
420	chr19:40788962-41824659	SBS1	1	1	1	0
421	chr19:40788962-41824659	SBS3	1	1	3	0
422	chr19:40788962-41824659	SBS5	1	1	3	0
423	chr19:41835460-49474149	SBS1	1	1	5	0
424	chr19:41835460-49474149	SBS18	1	1	4	0
425	chr19:41835460-49474149	SBS3	1	1	37	0
426	chr19:41835460-49474149	SBS5	1	1	21	0
427	chr19:49489990-54211000	SBS1	1	1	6	0
428	chr19:49489990-54211000	SBS18	1	1	1	0
429	chr19:49489990-54211000	SBS3	1	1	13	0
430	chr19:49489990-54211000	SBS5	1	1	14	0
431	chr19:54211001-54785977	SBS1	1	1	3	0
432	chr19:54211001-54785977	SBS18	1	1	1	0
433	chr19:54211001-54785977	SBS3	1	1	27	0
434	chr19:54211001-54785977	SBS5	1	1	24	0
435	chr19:54786036-58617616	SBS1	1	1	3	0
436	chr19:54786036-58617616	SBS18	1	1	1	0
437	chr19:54786036-58617616	SBS3	1	1	18	0
438	chr19:54786036-58617616	SBS5	1	1	7	0
439	chr19:712233-1829131	SBS1	1	1	1	0
440	chr19:712233-1829131	SBS3	1	1	3	0
441	chr19:712233-1829131	SBS5	1	1	7	0
442	chr1:1-10665003	SBS1	1	0	1	0
443	chr1:1-10665003	SBS18	1	0	2	0
444	chr1:1-10665003	SBS3	1	0	25	0
445	chr1:1-10665003	SBS5	1	0	11	0
446	chr1:10665201-16507397	SBS1	1	0	1	0
447	chr1:10665201-16507397	SBS18	1	0	2	0
448	chr1:10665201-16507397	SBS3	1	0	14	0
449	chr1:10665201-16507397	SBS5	1	0	13	0
450	chr1:112644724-117181045	SBS18	1	1	2	0
451	chr1:112644724-117181045	SBS3	1	1	14	0
452	chr1:112644724-117181045	SBS5	1	1	4	0
453	chr1:117181046-117838776	SBS3	1	1	7	0
454	chr1:117181046-117838776	SBS5	1	1	2	0
455	chr1:117838777-123605522	SBS1	1	1	2	0
456	chr1:117838777-123605522	SBS3	1	1	7	0
457	chr1:117838777-123605522	SBS5	1	1	5	0
458	chr1:123605523-156448586	SBS1	1	1	7	0
459	chr1:123605523-156448586	SBS18	1	1	2	0
460	chr1:123605523-156448586	SBS3	1	1	49	0
461	chr1:123605523-156448586	SBS5	1	1	17	0
462	chr1:156459395-158129036	SBS3	1	1	6	0
463	chr1:156459395-158129036	SBS5	1	1	4	0
464	chr1:158129037-175645364	SBS1	1	1	9	0
465	chr1:158129037-175645364	SBS18	1	1	2	0
466	chr1:158129037-175645364	SBS3	1	1	67	0
467	chr1:158129037-175645364	SBS5	1	1	20	0
468	chr1:16507398-26728235	SBS1	1	1	4	0
469	chr1:16507398-26728235	SBS18	1	1	1	0
470	chr1:16507398-26728235	SBS3	1	1	29	0
471	chr1:16507398-26728235	SBS5	1	1	15	0
472	chr1:175651611-181084000	SBS1	1	1	2	0
473	chr1:175651611-181084000	SBS3	1	1	23	0
474	chr1:175651611-181084000	SBS5	1	1	8	0
475	chr1:181084001-181145000	SBS5	1	1	1	0
476	chr1:181145001-184867352	SBS3	1	1	10	0
477	chr1:181145001-184867352	SBS5	1	1	6	0
478	chr1:184875284-219698155	SBS1	1	1	5	0
479	chr1:184875284-219698155	SBS18	1	1	10	0
480	chr1:184875284-219698155	SBS3	1	1	88	0
481	chr1:184875284-219698155	SBS5	1	1	20	0
482	chr1:219698243-222752806	SBS18	1	1	1	0
483	chr1:219698243-222752806	SBS3	1	1	4	0
484	chr1:219698243-222752806	SBS5	1	1	3	0
485	chr1:222752807-224515000	SBS1	2	1	2	0
486	chr1:222752807-224515000	SBS3	2	1	3	0
487	chr1:222752807-224515000	SBS5	2	1	5	0
488	chr1:224515001-225355870	SBS3	2	1	3	0
489	chr1:224515001-225355870	SBS5	2	1	1	0
490	chr1:225367334-226172201	SBS1	2	1	1	0
491	chr1:225367334-226172201	SBS3	2	1	1	1
492	chr1:225367334-226172201	SBS5	2	1	1	0
493	chr1:226172202-227942329	SBS1	2	1	2	0
494	chr1:226172202-227942329	SBS18	2	1	2	0
495	chr1:226172202-227942329	SBS3	2	1	9	1
496	chr1:226172202-227942329	SBS5	2	1	9	0
497	chr1:227944606-228357000	SBS3	2	1	1	0
498	chr1:228357001-234620317	SBS1	2	0	3	0
499	chr1:228357001-234620317	SBS18	2	0	3	0
500	chr1:228357001-234620317	SBS3	2	0	18	0
501	chr1:228357001-234620317	SBS5	2	0	9	1
502	chr1:234620318-234884120	SBS1	2	0	1	0
503	chr1:234620318-234884120	SBS18	2	0	1	0
504	chr1:234620318-234884120	SBS3	2	0	1	0
505	chr1:234884121-236142161	SBS1	2	0	1	0
506	chr1:234884121-236142161	SBS3	2	0	4	0
507	chr1:236142288-245177253	SBS1	2	1	3	1
508	chr1:236142288-245177253	SBS18	2	1	7	3
509	chr1:236142288-245177253	SBS3	2	1	30	5
510	chr1:236142288-245177253	SBS5	2	1	12	2
511	chr1:245177254-248956422	SBS1	2	0	1	1
512	chr1:245177254-248956422	SBS18	2	0	1	0
513	chr1:245177254-248956422	SBS3	2	0	9	1
514	chr1:245177254-248956422	SBS5	2	0	5	0
515	chr1:26728236-30961732	SBS3	1	0	4	0
516	chr1:26728236-30961732	SBS5	1	0	2	0
517	chr1:30961827-37428192	SBS18	1	0	1	0
518	chr1:30961827-37428192	SBS3	1	0	12	0
