	segment_id	sig_max	major_cn	minor_cn	N1	N4	N2	N3	N6	N9	N5	N7	N10	N8
23	chr10:127515778-131414865	SBS3	2	0	19	0	0	0	0	0	0	0	0	0
24	chr10:131414941-133514694	SBS1	2	0	4	0	1	0	0	0	0	0	0	0
25	chr10:131414941-133514694	SBS100	2	0	2	0	0	0	0	0	0	0	0	0
26	chr10:131414941-133514694	SBS3	2	0	7	0	1	0	0	0	0	0	0	0
27	chr10:133517094-133797422	SBS3	2	0	2	0	0	0	0	0	0	0	0	0
28	chr10:18436125-19023627	SBS1	4	2	1	0	0	0	0	0	0	0	0	0
29	chr10:18436125-19023627	SBS100	4	2	1	0	0	0	0	0	0	0	0	0
30	chr10:18436125-19023627	SBS3	4	2	6	1	0	1	0	0	0	0	0	0
31	chr10:19023628-20471372	SBS100	2	2	3	0	0	0	0	0	0	0	0	0
32	chr10:19023628-20471372	SBS3	2	2	13	0	1	0	0	0	0	0	0	0
33	chr10:20471672-20818566	SBS3	2	2	4	0	0	0	0	0	0	0	0	0
34	chr10:2052723-5285523	SBS1	4	2	1	0	0	0	0	0	0	0	0	0
35	chr10:2052723-5285523	SBS100	4	2	3	0	0	0	0	0	0	0	0	0
36	chr10:2052723-5285523	SBS3	4	2	32	3	7	5	0	0	0	0	0	0
37	chr10:20818567-20954496	SBS3	2	2	0	0	1	0	0	0	0	0	0	0
38	chr10:21162619-22314000	SBS100	3	1	1	0	0	0	0	0	0	0	0	0
39	chr10:21162619-22314000	SBS3	3	1	7	0	0	0	0	0	0	0	0	0
40	chr10:22314001-23795529	SBS1	2	1	1	0	0	0	0	0	0	0	0	0
41	chr10:22314001-23795529	SBS3	2	1	6	0	0	0	0	0	0	0	0	0
42	chr10:23795562-25553286	SBS1	2	1	1	0	0	0	0	0	0	0	0	0
43	chr10:23795562-25553286	SBS100	2	1	1	0	0	0	0	0	0	0	0	0
44	chr10:23795562-25553286	SBS3	2	1	16	0	1	0	0	0	0	0	0	0
45	chr10:25553291-25796249	SBS3	2	1	2	0	0	0	0	0	0	0	0	0
46	chr10:25796720-27678317	SBS1	2	1	1	0	0	0	0	0	0	0	0	0
47	chr10:25796720-27678317	SBS100	2	1	1	0	0	0	0	0	0	0	0	0
48	chr10:25796720-27678317	SBS3	2	1	19	0	0	0	0	0	0	0	0	0
49	chr10:27678364-31970081	SBS3	2	1	23	0	4	0	0	0	0	0	0	0
50	chr10:31970082-33401647	SBS100	2	1	1	0	0	0	0	0	0	0	0	0
51	chr10:31970082-33401647	SBS3	2	1	4	0	1	0	0	0	0	0	0	0
52	chr10:33423884-35241000	SBS1	1	1	1	0	0	0	0	0	0	0	0	0
53	chr10:33423884-35241000	SBS3	1	1	10	0	0	0	0	0	0	0	0	0
54	chr10:35241001-36109543	SBS3	3	1	5	0	0	1	0	0	0	0	0	0
55	chr10:36109544-36241550	SBS3	3	2	0	0	1	0	0	0	0	0	0	0
56	chr10:36242767-37273834	SBS1	3	2	1	0	0	0	0	0	0	0	0	0
57	chr10:36242767-37273834	SBS100	3	2	1	0	0	0	0	0	0	0	0	0
58	chr10:36242767-37273834	SBS3	3	2	11	0	0	0	0	0	0	0	0	0
59	chr10:37273835-38267000	SBS1	2	2	1	0	0	0	0	0	0	0	0	0
60	chr10:37273835-38267000	SBS3	2	2	3	0	2	0	0	0	0	0	0	0
61	chr10:38267001-40640101	SBS1	2	1	4	0	0	0	0	0	0	0	0	0
62	chr10:38267001-40640101	SBS100	2	1	1	0	0	0	0	0	0	0	0	0
63	chr10:38267001-40640101	SBS3	2	1	24	0	0	0	0	0	0	0	0	0
64	chr10:40640102-42228451	SBS1	1	1	1	0	0	0	0	0	0	0	0	0
65	chr10:40640102-42228451	SBS100	1	1	1	0	0	0	0	0	0	0	0	0
66	chr10:40640102-42228451	SBS3	1	1	2	0	0	0	0	0	0	0	0	0
67	chr10:42228452-61482964	SBS1	1	0	3	0	0	0	0	0	0	0	0	0
68	chr10:42228452-61482964	SBS100	1	0	3	0	0	0	0	0	0	0	0	0
69	chr10:42228452-61482964	SBS3	1	0	56	0	0	0	0	0	0	0	0	0
70	chr10:5285566-7405499	SBS1	4	2	1	0	0	0	0	0	0	0	0	0
71	chr10:5285566-7405499	SBS100	4	2	1	0	0	0	0	0	0	0	0	0
72	chr10:5285566-7405499	SBS3	4	2	15	0	1	0	0	0	0	0	0	0
73	chr10:67576001-69240208	SBS1	1	0	1	0	0	0	0	0	0	0	0	0
74	chr10:67576001-69240208	SBS100	1	0	1	0	0	0	0	0	0	0	0	0
75	chr10:67576001-69240208	SBS3	1	0	3	0	0	0	0	0	0	0	0	0
76	chr10:69240247-72040939	SBS100	1	0	2	0	0	0	0	0	0	0	0	0
77	chr10:69240247-72040939	SBS3	1	0	17	0	0	0	0	0	0	0	0	0
78	chr10:72197499-75039923	SBS1	2	0	1	0	0	0	0	0	0	0	0	0
79	chr10:72197499-75039923	SBS100	2	0	1	0	0	0	0	0	0	0	0	0
80	chr10:72197499-75039923	SBS3	2	0	10	0	0	0	0	0	0	0	0	0
81	chr10:7405500-10498740	SBS1	4	2	2	0	0	0	0	0	0	0	0	0
82	chr10:7405500-10498740	SBS100	4	2	1	0	0	0	0	0	0	0	0	0
83	chr10:7405500-10498740	SBS3	4	2	24	1	6	3	0	0	0	0	0	0
84	chr10:75039924-75067868	SBS3	3	0	1	0	0	0	0	0	0	0	0	0
85	chr10:75067869-103996202	SBS1	2	0	6	0	1	0	0	0	0	0	0	0
86	chr10:75067869-103996202	SBS100	2	0	5	0	0	0	0	0	0	0	0	0
87	chr10:75067869-103996202	SBS3	2	0	97	0	5	0	0	0	0	0	0	0
88	chr11:1-1070509	SBS1	4	1	1	0	0	0	0	0	0	0	0	0
89	chr11:1-1070509	SBS100	4	1	2	0	0	0	0	0	0	0	0	0
90	chr11:1-1070509	SBS3	4	1	12	0	0	0	0	0	0	0	0	0
91	chr11:100396001-101850999	SBS3	6	1	4	0	0	0	1	0	0	0	0	0
92	chr11:101851034-103357138	SBS3	6	1	8	1	2	0	1	0	0	0	0	0
93	chr11:103460238-103729190	SBS3	6	1	2	1	0	0	0	0	0	0	0	0
94	chr11:103777006-104498837	SBS1	3	1	0	0	0	1	0	0	0	0	0	0
95	chr11:103777006-104498837	SBS3	3	1	2	0	0	0	0	0	0	0	0	0
96	chr11:104840933-105733860	SBS3	3	3	3	0	1	0	0	0	0	0	0	0
97	chr11:105733895-107710027	SBS1	3	3	2	0	0	0	0	0	0	0	0	0
98	chr11:105733895-107710027	SBS100	3	3	1	0	0	0	0	0	0	0	0	0
99	chr11:105733895-107710027	SBS3	3	3	9	0	0	7	0	0	0	0	0	0
100	chr11:1070640-1832229	SBS1	4	1	1	0	0	0	0	0	0	0	0	0
101	chr11:1070640-1832229	SBS100	4	1	1	0	0	0	0	0	0	0	0	0
102	chr11:1070640-1832229	SBS3	4	1	4	0	1	0	0	0	0	0	0	0
103	chr11:107712982-108630296	SBS3	3	3	1	0	0	1	0	0	0	0	0	0
104	chr11:108630297-112961196	SBS100	3	2	2	0	1	0	0	0	0	0	0	0
105	chr11:108630297-112961196	SBS3	3	2	18	0	5	4	0	0	0	0	0	0
106	chr11:112961197-120336500	SBS1	2	0	2	0	0	0	0	0	0	0	0	0
107	chr11:112961197-120336500	SBS100	2	0	1	0	1	0	0	0	0	0	0	0
108	chr11:112961197-120336500	SBS3	2	0	51	0	14	0	0	0	0	0	0	0
109	chr11:120336501-121085522	SBS3	3	0	1	0	0	1	0	0	0	0	0	0
110	chr11:121091091-122227537	SBS3	3	0	1	0	0	3	0	0	0	0	0	0
111	chr11:122227538-124765928	SBS1	2	0	0	0	1	0	0	0	0	0	0	0
112	chr11:122227538-124765928	SBS3	2	0	1	0	2	0	0	0	0	0	0	0
113	chr11:124765968-128900152	SBS3	2	0	8	0	5	0	0	0	0	0	0	0
114	chr11:128900190-129418640	SBS3	2	0	0	0	1	0	0	0	0	0	0	0
115	chr11:129418866-132045639	SBS1	2	0	0	0	1	0	0	0	0	0	0	0
116	chr11:129418866-132045639	SBS3	2	0	3	0	6	0	0	0	0	0	0	0
117	chr11:132045897-135086622	SBS1	2	0	1	0	0	0	0	0	0	0	0	0
118	chr11:132045897-135086622	SBS100	2	0	0	0	1	0	0	0	0	0	0	0
119	chr11:132045897-135086622	SBS3	2	0	3	0	5	0	0	0	0	0	0	0
120	chr11:18128238-19017164	SBS1	3	1	1	0	0	0	0	0	0	0	0	0
121	chr11:18128238-19017164	SBS100	3	1	2	0	0	0	0	0	0	0	0	0
122	chr11:18128238-19017164	SBS3	3	1	5	0	2	0	0	0	0	0	0	0
123	chr11:1832230-3938077	SBS1	1	1	3	0	0	0	0	0	0	0	0	0
124	chr11:1832230-3938077	SBS3	1	1	13	0	0	0	0	0	0	0	0	0
125	chr11:19017165-19480506	SBS3	1	1	2	0	0	0	0	0	0	0	0	0
126	chr11:19480673-29727701	SBS1	1	1	1	0	0	0	0	0	0	0	0	0
127	chr11:19480673-29727701	SBS100	1	1	3	0	0	0	0	0	0	0	0	0
128	chr11:19480673-29727701	SBS3	1	1	45	0	0	0	0	0	0	0	0	0
129	chr11:29727752-32707548	SBS100	1	1	3	0	0	0	0	0	0	0	0	0
130	chr11:29727752-32707548	SBS3	1	1	24	0	0	0	0	0	0	0	0	0
131	chr11:32707549-33690000	SBS3	2	1	1	0	3	0	0	0	0	0	0	0
132	chr11:33690001-33739000	SBS3	2	1	1	0	0	0	0	0	0	0	0	0
133	chr11:33739001-34016000	SBS3	2	1	2	0	0	0	0	0	0	0	0	0
134	chr11:34016001-35531843	SBS3	1	1	3	0	0	0	0	0	0	0	0	0
135	chr11:35531844-36153343	SBS3	2	1	1	0	0	0	0	0	0	0	0	0
136	chr11:36153344-37309232	SBS3	1	1	1	0	0	0	0	0	0	0	0	0
137	chr11:37309267-44874025	SBS100	1	1	1	0	0	0	0	0	0	0	0	0
138	chr11:37309267-44874025	SBS3	1	1	38	0	0	0	0	0	0	0	0	0
139	chr11:3938226-18089995	SBS1	1	1	2	0	0	0	0	0	0	0	0	0
140	chr11:3938226-18089995	SBS100	1	1	1	0	0	0	0	0	0	0	0	0
141	chr11:3938226-18089995	SBS3	1	1	42	0	0	0	0	0	0	0	0	0
142	chr11:44874072-49615157	SBS100	1	1	2	0	0	0	0	0	0	0	0	0
143	chr11:44874072-49615157	SBS3	1	1	23	0	0	0	0	0	0	0	0	0
144	chr11:49615284-52751710	SBS100	1	1	1	0	0	0	0	0	0	0	0	0
145	chr11:49615284-52751710	SBS3	1	1	13	0	0	0	0	0	0	0	0	0
146	chr11:52751711-55192353	SBS3	1	1	9	0	0	0	0	0	0	0	0	0
147	chr11:55193422-57082817	SBS3	1	1	9	0	0	0	0	0	0	0	0	0
148	chr11:57082818-57876750	SBS3	3	1	4	0	0	0	0	0	0	0	0	0
149	chr11:57876785-58776121	SBS100	3	1	2	0	0	0	0	0	0	0	0	0
150	chr11:57876785-58776121	SBS3	3	1	5	0	3	0	0	0	0	0	0	0
151	chr11:58776122-61227500	SBS1	1	1	1	0	0	0	0	0	0	0	0	0
152	chr11:58776122-61227500	SBS100	1	1	1	0	0	0	0	0	0	0	0	0
153	chr11:58776122-61227500	SBS3	1	1	8	0	0	0	0	0	0	0	0	0
154	chr11:61227501-61831620	SBS3	3	1	1	0	0	0	0	0	0	0	0	0
155	chr11:61831653-63788982	SBS3	3	1	19	0	2	0	0	0	0	0	0	0
156	chr11:63789021-64881000	SBS3	3	1	4	0	2	1	0	0	0	0	0	0
157	chr11:64881001-65991998	SBS1	4	1	1	0	1	0	0	0	0	0	0	0
158	chr11:64881001-65991998	SBS100	4	1	1	0	0	0	0	0	0	0	0	0
159	chr11:64881001-65991998	SBS3	4	1	1	1	0	0	0	0	0	0	0	0
160	chr11:65992042-67230422	SBS3	4	1	4	1	1	0	0	0	0	0	0	0
161	chr11:67230480-69286957	SBS1	4	1	1	0	0	0	0	0	0	0	0	0
162	chr11:67230480-69286957	SBS100	4	1	1	0	0	0	0	0	0	0	0	0
163	chr11:67230480-69286957	SBS3	4	1	17	0	1	0	0	0	0	0	0	0
164	chr11:69288093-69401970	SBS1	10	1	1	0	0	0	0	0	0	0	0	0
165	chr11:69288093-69401970	SBS3	10	1	4	0	0	0	0	0	0	0	0	0
166	chr11:69401971-69559521	SBS3	9	1	3	0	2	0	0	0	0	0	0	0
167	chr11:69559522-69702197	SBS3	10	1	2	0	1	0	0	0	0	0	0	0
168	chr11:69703290-69975077	SBS3	10	1	4	0	0	0	0	0	0	0	0	0
169	chr11:69975078-70811526	SBS1	9	1	2	0	0	0	0	0	0	0	0	0
170	chr11:69975078-70811526	SBS3	9	1	13	0	5	0	0	1	0	0	0	0
171	chr11:70811527-71477055	SBS1	4	1	1	0	0	0	0	0	0	0	0	0
172	chr11:70811527-71477055	SBS3	4	1	3	0	0	0	0	0	0	0	0	0
173	chr11:71477056-74478069	SBS1	3	1	2	0	0	0	0	0	0	0	0	0
174	chr11:71477056-74478069	SBS100	3	1	2	0	0	0	0	0	0	0	0	0
175	chr11:71477056-74478069	SBS3	3	1	11	0	0	0	0	0	0	0	0	0
176	chr11:74478070-74982920	SBS3	4	1	1	0	0	0	0	0	0	0	0	0
177	chr11:74982921-75770000	SBS1	3	1	0	0	1	0	0	0	0	0	0	0
178	chr11:74982921-75770000	SBS100	3	1	1	0	0	0	0	0	0	0	0	0
179	chr11:74982921-75770000	SBS3	3	1	0	0	2	0	0	0	0	0	0	0
180	chr11:75770001-75900097	SBS1	5	1	1	0	0	0	0	0	0	0	0	0
181	chr11:75770001-75900097	SBS3	5	1	1	0	0	0	0	0	0	0	0	0
182	chr11:75900098-85251993	SBS1	2	1	3	0	0	0	0	0	0	0	0	0
183	chr11:75900098-85251993	SBS100	2	1	3	0	3	0	0	0	0	0	0	0
184	chr11:75900098-85251993	SBS3	2	1	33	0	9	0	0	0	0	0	0	0
185	chr11:85251994-85406778	SBS3	2	0	0	0	1	0	0	0	0	0	0	0
186	chr11:85406779-85998415	SBS3	2	1	1	0	2	0	0	0	0	0	0	0
187	chr11:86205588-91889576	SBS100	2	1	2	0	0	0	0	0	0	0	0	0
188	chr11:86205588-91889576	SBS3	2	1	15	0	10	0	0	0	0	0	0	0
189	chr11:91889577-93514000	SBS1	3	1	0	0	0	1	0	0	0	0	0	0
190	chr11:91889577-93514000	SBS3	3	1	6	0	1	1	0	0	0	0	0	0
191	chr11:93549001-95265751	SBS3	3	1	9	0	0	2	0	0	0	0	0	0
192	chr11:95265752-96019672	SBS3	3	2	1	0	0	1	0	0	0	0	0	0
193	chr11:96019673-97835731	SBS3	3	1	5	0	0	1	0	0	0	0	0	0
194	chr11:97835845-100396000	SBS3	3	1	16	0	2	1	0	0	0	0	0	0
195	chr12:1-4959498	SBS1	3	2	2	0	0	0	0	0	0	0	0	0
196	chr12:1-4959498	SBS100	3	2	1	0	0	1	0	0	0	0	0	0
197	chr12:1-4959498	SBS3	3	2	42	0	4	0	0	0	0	0	0	0
198	chr12:10206861-10707191	SBS3	4	2	4	0	0	0	0	0	0	0	0	0
199	chr12:104050840-110939213	SBS1	2	0	3	0	0	0	0	0	0	0	0	0
200	chr12:104050840-110939213	SBS3	2	0	24	0	1	0	0	0	0	0	0	0
201	chr12:10707192-10710358	SBS3	6	2	0	0	1	0	0	0	0	0	0	0
202	chr12:10710359-11647000	SBS1	4	2	1	0	0	0	0	0	0	0	0	0
203	chr12:10710359-11647000	SBS100	4	2	1	0	0	0	0	0	0	0	0	0
204	chr12:10710359-11647000	SBS3	4	2	16	0	0	0	0	0	0	0	0	0
205	chr12:110939250-112582868	SBS3	2	0	5	0	1	0	0	0	0	0	0	0
206	chr12:112585932-119804000	SBS1	2	0	3	0	0	0	0	0	0	0	0	0
207	chr12:112585932-119804000	SBS100	2	0	1	0	0	0	0	0	0	0	0	0
208	chr12:112585932-119804000	SBS3	2	0	35	0	1	0	0	0	0	0	0	0
209	chr12:11647001-11770391	SBS3	3	2	2	0	0	0	0	0	0	0	0	0
210	chr12:11779765-11859954	SBS3	4	2	1	0	0	0	0	0	0	0	0	0
211	chr12:11883303-12041859	SBS3	4	4	1	0	2	0	0	0	0	0	0	0
212	chr12:120369235-124337547	SBS1	2	1	2	0	0	0	0	0	0	0	0	0
213	chr12:120369235-124337547	SBS100	2	1	1	0	0	0	0	0	0	0	0	0
214	chr12:120369235-124337547	SBS3	2	1	15	0	1	0	0	0	0	0	0	0
215	chr12:12041860-12088382	SBS3	4	2	3	0	0	0	0	0	0	0	0	0
216	chr12:12088417-12679728	SBS100	4	2	1	0	0	0	0	0	0	0	0	0
217	chr12:12088417-12679728	SBS3	4	2	3	0	0	1	0	0	0	0	0	0
218	chr12:124337548-125277037	SBS3	2	1	1	0	0	0	0	0	0	0	0	0
219	chr12:125279809-126992976	SBS3	2	1	15	0	5	0	0	0	0	0	0	0
220	chr12:126993185-127751553	SBS1	2	1	1	0	0	0	0	0	0	0	0	0
221	chr12:126993185-127751553	SBS3	2	1	7	0	1	0	0	0	0	0	0	0
222	chr12:12704009-15201378	SBS1	4	2	1	0	0	0	0	0	0	0	0	0
223	chr12:12704009-15201378	SBS100	4	2	4	0	0	0	0	0	0	0	0	0
224	chr12:12704009-15201378	SBS3	4	2	23	2	3	0	0	0	0	0	0	0
225	chr12:127751589-128331305	SBS3	2	1	5	0	0	0	0	0	0	0	0	0
226	chr12:128331344-128622325	SBS3	2	1	3	0	0	0	0	0	0	0	0	0
227	chr12:128622418-128690997	SBS3	2	1	1	0	0	0	0	0	0	0	0	0
228	chr12:128692534-130547587	SBS1	2	1	2	0	1	0	0	0	0	0	0	0
229	chr12:128692534-130547587	SBS100	2	1	1	0	0	0	0	0	0	0	0	0
230	chr12:128692534-130547587	SBS3	2	1	26	0	3	0	0	0	0	0	0	0
231	chr12:130549574-133275309	SBS1	2	1	1	0	0	0	0	0	0	0	0	0
232	chr12:130549574-133275309	SBS100	2	1	1	0	0	0	0	0	0	0	0	0
233	chr12:130549574-133275309	SBS3	2	1	18	0	2	0	0	0	0	0	0	0
234	chr12:15223798-15360630	SBS3	4	2	2	0	0	0	0	0	0	0	0	0
235	chr12:15360760-17459577	SBS1	4	2	0	1	0	0	0	0	0	0	0	0
236	chr12:15360760-17459577	SBS100	4	2	0	0	0	1	0	0	0	0	0	0
237	chr12:15360760-17459577	SBS3	4	2	16	0	2	0	0	0	0	0	0	0
238	chr12:17460984-19616000	SBS3	4	2	17	1	1	0	0	0	0	0	0	0
239	chr12:19616001-22308514	SBS1	3	2	1	0	1	0	0	0	0	0	0	0
240	chr12:19616001-22308514	SBS3	3	2	14	0	4	1	0	0	0	0	0	0
241	chr12:22308515-23044228	SBS100	4	2	2	0	0	0	0	0	0	0	0	0
242	chr12:22308515-23044228	SBS3	4	2	6	0	0	0	0	0	0	0	0	0
243	chr12:23044229-24704438	SBS1	3	2	0	0	1	0	0	0	0	0	0	0
244	chr12:23044229-24704438	SBS100	3	2	2	0	0	0	0	0	0	0	0	0
245	chr12:23044229-24704438	SBS3	3	2	13	0	3	0	0	0	0	0	0	0
246	chr12:24704439-25538693	SBS3	3	3	8	0	2	0	0	0	0	0	0	0
247	chr12:25538694-25666289	SBS3	4	3	1	0	1	0	0	0	0	0	0	0
248	chr12:25666290-26329223	SBS100	3	3	0	0	1	0	0	0	0	0	0	0
249	chr12:25666290-26329223	SBS3	3	3	2	0	0	0	0	0	0	0	0	0
250	chr12:26329224-27420682	SBS1	3	2	1	0	0	0	0	0	0	0	0	0
251	chr12:26329224-27420682	SBS100	3	2	1	0	0	0	0	0	0	0	0	0
252	chr12:26329224-27420682	SBS3	3	2	16	0	2	0	0	0	0	0	0	0
253	chr12:27420718-28184192	SBS3	3	2	3	0	0	0	0	0	0	0	0	0
254	chr12:28217371-28458387	SBS3	3	2	1	0	0	3	0	0	0	0	0	0
255	chr12:28458388-31901023	SBS1	2	2	2	0	0	0	0	0	0	0	0	0
256	chr12:28458388-31901023	SBS3	2	2	29	0	2	0	0	0	0	0	0	0
257	chr12:31901058-32931525	SBS1	2	2	1	0	0	0	0	0	0	0	0	0
258	chr12:31901058-32931525	SBS100	2	2	3	0	0	0	0	0	0	0	0	0
259	chr12:31901058-32931525	SBS3	2	2	4	0	1	0	0	0	0	0	0	0
260	chr12:32931526-33254015	SBS3	5	2	5	0	0	0	0	0	0	0	0	0
261	chr12:33296290-33346419	SBS3	2	1	2	0	0	0	0	0	0	0	0	0
262	chr12:33346420-33701707	SBS3	2	2	1	0	1	0	0	0	0	0	0	0
263	chr12:33701708-35977329	SBS1	2	2	1	0	0	0	0	0	0	0	0	0
264	chr12:33701708-35977329	SBS3	2	2	20	0	3	0	0	0	0	0	0	0
265	chr12:35977330-37891028	SBS1	2	2	0	0	1	0	0	0	0	0	0	0
266	chr12:35977330-37891028	SBS100	2	2	2	0	0	0	0	0	0	0	0	0
267	chr12:35977330-37891028	SBS3	2	2	19	0	0	0	0	0	0	0	0	0
268	chr12:37892553-39490665	SBS1	2	2	2	0	0	0	0	0	0	0	0	0
269	chr12:37892553-39490665	SBS100	2	2	1	0	0	0	0	0	0	0	0	0
270	chr12:37892553-39490665	SBS3	2	2	15	0	2	0	0	0	0	0	0	0
271	chr12:39490724-43971040	SBS1	2	2	1	0	0	0	0	0	0	0	0	0
272	chr12:39490724-43971040	SBS100	2	2	2	0	0	0	0	0	0	0	0	0
273	chr12:39490724-43971040	SBS3	2	2	47	0	3	0	0	0	0	0	0	0
274	chr12:44208252-45733298	SBS1	2	2	1	0	0	0	0	0	0	0	0	0
275	chr12:44208252-45733298	SBS3	2	2	8	0	2	0	0	0	0	0	0	0
276	chr12:45825012-45924728	SBS3	3	2	0	0	1	1	0	0	0	0	0	0
277	chr12:45924729-46637729	SBS3	3	1	2	0	0	0	0	0	0	0	0	0
278	chr12:46637730-51522992	SBS1	2	1	1	0	0	0	0	0	0	0	0	0
279	chr12:46637730-51522992	SBS3	2	1	19	0	0	0	0	0	0	0	0	0
280	chr12:4959537-5528724	SBS3	3	2	7	0	0	0	0	0	0	0	0	0
281	chr12:51523051-53690082	SBS1	2	1	2	0	0	0	0	0	0	0	0	0
282	chr12:51523051-53690082	SBS100	2	1	1	0	1	0	0	0	0	0	0	0
283	chr12:51523051-53690082	SBS3	2	1	27	0	2	0	0	0	0	0	0	0
284	chr12:53710460-54743706	SBS3	2	1	4	0	1	0	0	0	0	0	0	0
285	chr12:54743924-56384918	SBS3	2	1	15	0	0	0	0	0	0	0	0	0
286	chr12:5534905-9045823	SBS1	3	2	1	0	0	0	0	0	0	0	0	0
287	chr12:5534905-9045823	SBS100	3	2	2	0	1	0	0	0	0	0	0	0
288	chr12:5534905-9045823	SBS3	3	2	40	0	1	0	0	0	0	0	0	0
289	chr12:56664791-60750750	SBS1	2	1	1	0	0	0	0	0	0	0	0	0
290	chr12:56664791-60750750	SBS100	2	1	1	0	0	0	0	0	0	0	0	0
291	chr12:56664791-60750750	SBS3	2	1	12	0	2	0	0	0	0	0	0	0
292	chr12:60751296-65279202	SBS1	2	1	1	0	0	0	0	0	0	0	0	0
293	chr12:60751296-65279202	SBS100	2	1	2	0	0	0	0	0	0	0	0	0
294	chr12:60751296-65279202	SBS3	2	1	35	0	2	0	0	0	0	0	0	0
295	chr12:65355039-68844097	SBS1	2	1	1	0	0	0	0	0	0	0	0	0
296	chr12:65355039-68844097	SBS100	2	1	1	0	0	0	0	0	0	0	0	0
297	chr12:65355039-68844097	SBS3	2	1	20	0	0	0	0	0	0	0	0	0
298	chr12:68844301-72795734	SBS100	2	1	2	0	1	0	0	0	0	0	0	0
299	chr12:68844301-72795734	SBS3	2	1	21	0	0	0	0	0	0	0	0	0
300	chr12:72799747-74298300	SBS1	2	1	1	0	0	0	0	0	0	0	0	0
301	chr12:72799747-74298300	SBS3	2	1	14	0	0	0	0	0	0	0	0	0
302	chr12:74298301-82274657	SBS1	2	0	0	0	1	0	0	0	0	0	0	0
303	chr12:74298301-82274657	SBS100	2	0	2	0	0	0	0	0	0	0	0	0
304	chr12:74298301-82274657	SBS3	2	0	32	0	1	0	0	0	0	0	0	0
305	chr12:82274693-83563186	SBS3	2	0	2	0	0	0	0	0	0	0	0	0
306	chr12:83868315-85400768	SBS100	2	0	1	0	0	0	0	0	0	0	0	0
307	chr12:83868315-85400768	SBS3	2	0	8	0	0	0	0	0	0	0	0	0
308	chr12:85402373-91129287	SBS3	2	0	21	0	3	0	0	0	0	0	0	0
309	chr12:9045824-10206650	SBS1	4	2	0	0	1	0	0	0	0	0	0	0
310	chr12:9045824-10206650	SBS3	4	2	12	0	3	0	0	0	0	0	0	0
311	chr12:91129322-96028561	SBS100	2	0	3	0	0	0	0	0	0	0	0	0
312	chr12:91129322-96028561	SBS3	2	0	15	0	2	0	0	0	0	0	0	0
313	chr12:96036015-104050807	SBS1	2	0	3	0	0	0	0	0	0	0	0	0
314	chr12:96036015-104050807	SBS3	2	0	33	0	3	0	0	0	0	0	0	0
315	chr13:1-17025623	SBS3	2	0	3	0	0	0	0	0	0	0	0	0
316	chr13:101198865-102566624	SBS1	5	0	1	0	0	0	0	0	0	0	0	0
317	chr13:101198865-102566624	SBS3	5	0	11	0	0	0	0	0	0	0	0	0
318	chr13:102566625-103337808	SBS1	6	0	1	0	0	0	0	0	0	0	0	0
319	chr13:102566625-103337808	SBS3	6	0	1	0	0	0	0	0	0	0	0	0
320	chr13:103337809-109502920	SBS1	5	0	1	0	1	0	0	0	2	0	0	0
321	chr13:103337809-109502920	SBS100	5	0	5	0	2	0	0	0	0	0	0	0
322	chr13:103337809-109502920	SBS3	5	0	45	0	7	1	0	0	3	0	0	0
