segment_id	sig_max	major_cn	minor_cn	N1	N2	N3
17:22200000-25799999	SBS5	2	2	0	1	0
17:25800000-62445098	SBS1	2	2	7	9	0
17:25800000-62445098	SBS18	2	2	1	2	0
17:25800000-62445098	SBS5	2	2	20	27	0
17:4876524-11910383	SBS5	2	0	3	2	0
17:6115-4853923	SBS1	2	2	2	1	0
17:6115-4853923	SBS5	2	2	1	2	0
17:64099991-69405938	SBS1	2	2	0	2	0
17:64099991-69405938	SBS18	2	2	1	0	0
17:64099991-69405938	SBS5	2	2	0	6	0
17:69405939-70316641	SBS5	2	0	2	0	0
17:70316642-81195209	SBS1	2	2	0	4	0
17:70316642-81195209	SBS5	2	2	3	7	0
18:19000000-78077247	SBS1	2	2	5	17	0
18:19000000-78077247	SBS18	2	2	9	8	0
18:19000000-78077247	SBS5	2	2	33	31	0
18:80031-15399999	SBS1	2	2	3	6	0
18:80031-15399999	SBS18	2	2	1	1	0
18:80031-15399999	SBS5	2	2	2	15	0
19:240963-6515842	SBS1	2	1	1	1	0
19:240963-6515842	SBS5	2	1	2	1	0
19:24400000-28599999	SBS1	2	1	1	1	0
19:24400000-28599999	SBS5	2	1	3	2	0
19:28600000-59128982	SBS1	2	1	8	3	0
19:28600000-59128982	SBS18	2	1	5	2	0
19:28600000-59128982	SBS5	2	1	30	10	0
19:6515843-8081026	SBS5	1	0	1	0	0
19:8081027-24399999	SBS1	2	1	2	1	0
19:8081027-24399999	SBS18	2	1	4	1	0
19:8081027-24399999	SBS5	2	1	12	8	0
1:1-80885110	SBS1	2	1	16	11	0
1:1-80885110	SBS18	2	1	14	7	0
1:1-80885110	SBS5	2	1	42	20	0
1:128900000-142837938	SBS5	2	1	4	0	0
1:142837939-196733461	SBS1	2	1	5	6	0
1:142837939-196733461	SBS18	2	1	11	1	0
1:142837939-196733461	SBS5	2	1	49	14	0
1:196733462-212348803	SBS1	2	1	2	4	0
1:196733462-212348803	SBS18	2	1	1	0	0
1:196733462-212348803	SBS5	2	1	6	2	0
1:212348804-213364306	SBS5	1	0	2	0	0
1:213364307-249250620	SBS1	2	1	6	7	0
1:213364307-249250620	SBS18	2	1	9	4	0
1:213364307-249250620	SBS5	2	1	16	12	0
1:80885111-87346267	SBS1	1	0	1	0	0
1:80885111-87346267	SBS18	1	0	2	0	0
1:80885111-87346267	SBS5	1	0	4	0	0
1:87346268-90956979	SBS1	2	1	0	2	0
1:87346268-90956979	SBS18	2	1	0	1	0
1:87346268-90956979	SBS5	2	1	1	3	0
1:90966568-91947188	SBS18	2	1	1	0	0
1:91957033-92416733	SBS5	2	1	1	0	0
1:92420502-94277008	SBS18	2	1	0	1	0
1:92420502-94277008	SBS5	2	1	1	0	0
1:94278378-95009737	SBS5	2	1	1	0	0
1:95179566-121499999	SBS1	2	1	4	2	0
1:95179566-121499999	SBS18	2	1	3	3	0
1:95179566-121499999	SBS5	2	1	22	9	0
20:25600000-29399999	SBS5	2	2	1	0	0
20:29400000-63025519	SBS1	2	2	7	10	0
20:29400000-63025519	SBS18	2	2	4	6	0
20:29400000-63025519	SBS5	2	2	18	20	0
20:60479-25599999	SBS1	2	2	1	10	0
20:60479-25599999	SBS18	2	2	4	3	0
20:60479-25599999	SBS5	2	2	10	20	0
21:10900000-14299999	SBS5	3	1	2	0	0
21:14300000-38114734	SBS1	2	2	8	6	0
21:14300000-38114734	SBS18	2	2	4	8	0
21:14300000-38114734	SBS5	2	2	15	18	0
21:38114735-38388946	SBS5	3	2	1	0	0
21:38388947-39875023	SBS1	2	2	1	1	0
21:40516150-42852564	SBS1	2	1	2	0	0
21:40516150-42852564	SBS5	2	1	2	2	0
21:42870037-48129894	SBS1	2	2	0	1	0
21:42870037-48129894	SBS18	2	2	0	1	0
21:42870037-48129894	SBS5	2	2	2	5	0
22:17900000-51304565	SBS1	2	2	5	7	0
22:17900000-51304565	SBS18	2	2	1	7	0
22:17900000-51304565	SBS5	2	2	17	17	0
2:122213591-122214178	SBS5	2	2	2	0	0
2:122428995-122452248	SBS5	2	1	1	0	0
2:122458159-131338140	SBS1	2	2	0	2	0
2:122458159-131338140	SBS18	2	2	3	4	0
2:122458159-131338140	SBS5	2	2	9	13	0
2:131338141-131855214	SBS1	2	1	1	0	0
2:131887777-131889398	SBS5	2	2	1	0	0
2:131889399-131892912	SBS5	2	2	1	0	0
2:131892913-227673189	SBS1	2	2	12	28	0
2:131892913-227673189	SBS18	2	2	19	20	0
2:131892913-227673189	SBS5	2	2	26	75	0
2:20016-25665775	SBS1	2	2	1	6	0
2:20016-25665775	SBS18	2	2	6	3	0
2:20016-25665775	SBS5	2	2	10	21	0
2:227857378-242979500	SBS1	2	2	1	4	0
2:227857378-242979500	SBS18	2	2	1	1	0
2:227857378-242979500	SBS5	2	2	5	11	0
2:25665776-26076773	SBS5	2	0	0	2	0
2:26076774-56979316	SBS1	2	2	5	5	0
2:26076774-56979316	SBS18	2	2	1	5	0
2:26076774-56979316	SBS5	2	2	14	21	0
2:57229440-58307122	SBS1	2	2	0	1	0
2:57229440-58307122	SBS18	2	2	1	1	0
2:57229440-58307122	SBS5	2	2	1	4	0
2:58307123-77428333	SBS1	2	0	2	1	0
2:58307123-77428333	SBS18	2	0	4	1	0
2:58307123-77428333	SBS5	2	0	10	7	0
2:77428334-80058889	SBS1	2	2	0	2	0
2:77428334-80058889	SBS18	2	2	1	0	0
2:77428334-80058889	SBS5	2	2	3	1	0
2:80060403-83029369	SBS5	2	2	5	5	0
2:83029370-83502669	SBS18	3	2	1	0	0
2:83029370-83502669	SBS5	3	2	3	0	1
2:83502670-90499999	SBS1	2	2	1	1	0
2:83502670-90499999	SBS5	2	2	1	7	0
2:90500000-96799999	SBS1	2	2	1	1	0
2:90500000-96799999	SBS5	2	2	6	1	0
2:96800000-122213549	SBS1	2	2	2	6	0
2:96800000-122213549	SBS18	2	2	5	7	0
2:96800000-122213549	SBS5	2	2	16	22	0
3:100074-6811675	SBS1	2	2	0	2	0
3:100074-6811675	SBS18	2	2	1	1	0
3:100074-6811675	SBS5	2	2	5	6	0
3:12782379-31919825	SBS1	2	2	3	8	0
3:12782379-31919825	SBS18	2	2	4	5	0
3:12782379-31919825	SBS5	2	2	5	19	0
3:152207430-152655918	SBS5	2	0	1	0	0
3:152655919-153965108	SBS5	2	2	1	0	0
3:154053616-198022429	SBS1	2	2	3	9	0
3:154053616-198022429	SBS18	2	2	6	6	0
3:154053616-198022429	SBS5	2	2	23	31	0
3:31926829-87899999	SBS1	2	2	6	13	0
3:31926829-87899999	SBS18	2	2	5	4	0
3:31926829-87899999	SBS5	2	2	23	42	0
3:6822073-12782312	SBS1	2	2	0	1	0
3:6822073-12782312	SBS5	2	2	3	2	0
3:87900000-93899999	SBS18	2	2	1	3	0
3:87900000-93899999	SBS5	2	2	1	2	0
3:93900000-151930605	SBS1	2	2	6	21	0
3:93900000-151930605	SBS18	2	2	5	4	0
3:93900000-151930605	SBS5	2	2	28	38	0
4:102184098-190833527	SBS1	3	2	5	11	17
4:102184098-190833527	SBS18	3	2	20	17	10
4:102184098-190833527	SBS5	3	2	51	36	46
4:48200000-52712500	SBS5	3	2	2	1	0
4:52712501-77260424	SBS1	3	2	1	0	4
4:52712501-77260424	SBS18	3	2	7	1	6
4:52712501-77260424	SBS5	3	2	16	9	10
4:70007-48199999	SBS1	3	2	4	7	11
4:70007-48199999	SBS18	3	2	9	5	15
4:70007-48199999	SBS5	3	2	29	20	19
4:77263203-102183140	SBS1	3	2	1	2	1
4:77263203-102183140	SBS18	3	2	2	0	1
4:77263203-102183140	SBS5	3	2	3	3	5
5:22500-857921	SBS5	2	2	0	2	0
5:46100000-50699999	SBS1	2	2	1	0	0
5:50700000-57317777	SBS1	2	2	0	1	0
5:50700000-57317777	SBS5	2	2	2	1	0
5:57317778-58382329	SBS1	3	2	1	0	0
5:57317778-58382329	SBS5	3	2	1	1	0
5:58382330-180685900	SBS1	2	2	10	24	0
5:58382330-180685900	SBS18	2	2	18	15	0
5:58382330-180685900	SBS5	2	2	59	84	0
5:857922-46099999	SBS1	2	2	3	8	0
5:857922-46099999	SBS18	2	2	8	10	0
5:857922-46099999	SBS5	2	2	25	37	0
6:108817542-139082364	SBS1	2	1	6	1	0
6:108817542-139082364	SBS18	2	1	7	2	0
6:108817542-139082364	SBS5	2	1	20	9	0
6:139251171-140083027	SBS5	1	0	1	0	0
6:140120467-170848497	SBS1	2	1	2	6	0
6:140120467-170848497	SBS18	2	1	3	3	0
6:140120467-170848497	SBS5	2	1	18	10	0
6:217501-58699999	SBS1	2	1	12	2	0
6:217501-58699999	SBS18	2	1	6	4	0
6:217501-58699999	SBS5	2	1	45	19	0
6:58700000-63299999	SBS5	2	1	4	1	0
6:63300000-70925845	SBS1	2	1	2	2	0
6:63300000-70925845	SBS18	2	1	5	1	0
6:63300000-70925845	SBS5	2	1	7	3	0
6:70930592-80456191	SBS1	2	1	1	2	0
6:70930592-80456191	SBS18	2	1	1	4	0
6:70930592-80456191	SBS5	2	1	4	1	0
6:80456192-108817541	SBS1	1	0	3	0	0
6:80456192-108817541	SBS18	1	0	3	0	0
6:80456192-108817541	SBS5	1	0	19	0	0
7:40386-57999999	SBS1	3	2	7	10	12
7:40386-57999999	SBS18	3	2	8	7	10
7:40386-57999999	SBS5	3	2	25	22	19
7:61700000-159138662	SBS1	3	2	18	8	10
7:61700000-159138662	SBS18	3	2	9	6	7
7:61700000-159138662	SBS5	3	2	62	40	40
8:101731040-124150281	SBS1	3	3	2	0	10
8:101731040-124150281	SBS18	3	3	3	5	6
8:101731040-124150281	SBS5	3	3	11	4	24
8:124150515-146364021	SBS1	3	2	2	3	3
8:124150515-146364021	SBS18	3	2	2	1	2
8:124150515-146364021	SBS5	3	2	21	8	5
8:155757-29187792	SBS1	3	0	3	2	6
8:155757-29187792	SBS18	3	0	4	0	2
8:155757-29187792	SBS5	3	0	20	6	9
8:29187793-43099999	SBS1	3	3	0	2	3
8:29187793-43099999	SBS18	3	3	2	1	3
8:29187793-43099999	SBS5	3	3	7	2	13
8:43100000-48099999	SBS1	3	3	1	0	0
8:43100000-48099999	SBS18	3	3	0	0	1
8:43100000-48099999	SBS5	3	3	1	0	2
8:48100000-96802615	SBS1	3	3	3	0	10
8:48100000-96802615	SBS18	3	3	5	1	14
8:48100000-96802615	SBS5	3	3	26	10	36
8:96802985-101731012	SBS1	3	2	1	0	0
8:96802985-101731012	SBS18	3	2	1	0	0
8:96802985-101731012	SBS5	3	2	4	3	3
9:117124497-118264544	SBS5	2	0	0	1	0
9:118264545-121035318	SBS18	2	2	1	0	0
9:118264545-121035318	SBS5	2	2	0	1	0
9:121141326-141213430	SBS1	2	2	2	4	0
9:121141326-141213430	SBS18	2	2	1	2	0
9:121141326-141213430	SBS5	2	2	4	8	0
9:203761-47299999	SBS1	2	2	5	4	0
9:203761-47299999	SBS18	2	2	8	6	0
9:203761-47299999	SBS5	2	2	28	28	0
9:65607500-117124496	SBS1	2	2	4	8	0
9:65607500-117124496	SBS18	2	2	2	8	0
9:65607500-117124496	SBS5	2	2	22	34	0
X:1-11953190	SBS1	2	0	1	0	0
X:1-11953190	SBS18	2	0	3	1	0
X:1-11953190	SBS5	2	0	11	3	0
X:11953191-29518629	SBS1	2	0	0	2	0
X:11953191-29518629	SBS18	2	0	2	2	0
X:11953191-29518629	SBS5	2	0	4	3	0
X:30714771-58099999	SBS1	2	0	5	0	0
X:30714771-58099999	SBS18	2	0	1	0	0
X:30714771-58099999	SBS5	2	0	14	6	0
X:58100000-62999999	SBS1	2	0	1	0	0
X:58100000-62999999	SBS5	2	0	6	0	0
X:63000000-66005994	SBS18	2	0	1	1	0
X:63000000-66005994	SBS5	2	0	2	2	0
X:66106798-67768123	SBS18	4	0	0	1	0
X:67768124-73192914	SBS18	2	0	0	1	0
X:67768124-73192914	SBS5	2	0	1	1	0
X:73192915-73820086	SBS18	1	0	2	0	0
X:73192915-73820086	SBS5	1	0	3	0	0
X:73954013-155270559	SBS1	2	0	7	12	0
X:73954013-155270559	SBS18	2	0	18	6	0
X:73954013-155270559	SBS5	2	0	34	27	0
Y:1-11599999	SBS1	2	0	2	0	0
Y:1-11599999	SBS18	2	0	1	3	0
Y:1-11599999	SBS5	2	0	5	0	0
Y:11600000-13399999	SBS5	2	0	1	0	0
Y:13400000-59373565	SBS1	2	0	2	2	0
Y:13400000-59373565	SBS18	2	0	1	1	0
Y:13400000-59373565	SBS5	2	0	7	1	0
