	segment_id	sig_max	major_cn	minor_cn	N1	N2	N3
201	chr16:1-4720000	SBS1	1	1	5	0	0
202	chr16:1-4720000	SBS2	1	1	1	0	0
203	chr16:1-4720000	SBS3	1	1	8	0	0
204	chr16:1-4720000	SBS5	1	1	2	0	0
205	chr16:10717001-12177141	SBS1	1	1	2	0	0
206	chr16:10717001-12177141	SBS3	1	1	3	0	0
207	chr16:12184843-28188000	SBS1	1	1	2	0	0
208	chr16:12184843-28188000	SBS17b	1	1	1	0	0
209	chr16:12184843-28188000	SBS2	1	1	1	0	0
210	chr16:12184843-28188000	SBS3	1	1	34	0	0
211	chr16:28188001-30957891	SBS13	1	1	1	0	0
212	chr16:28188001-30957891	SBS3	1	1	10	0	0
213	chr16:30971226-34214000	SBS1	2	0	1	0	0
214	chr16:30971226-34214000	SBS2	2	0	1	0	0
215	chr16:30971226-34214000	SBS3	2	0	8	0	0
216	chr16:30971226-34214000	SBS5	2	0	1	0	0
217	chr16:34214001-37295919	SBS1	2	0	2	0	0
218	chr16:34214001-37295919	SBS13	2	0	1	0	0
219	chr16:34214001-37295919	SBS3	2	0	11	0	0
220	chr16:4720001-10717000	SBS1	1	1	1	0	0
221	chr16:4720001-10717000	SBS3	1	1	10	0	0
222	chr17:1-8077041	SBS1	1	0	1	0	0
223	chr17:1-8077041	SBS13	1	0	1	0	0
224	chr17:1-8077041	SBS3	1	0	7	0	0
225	chr17:16524648-19493970	SBS3	1	0	1	0	0
226	chr17:19493971-19508243	SBS13	2	1	0	1	0
227	chr17:19493971-19508243	SBS3	2	1	0	1	0
228	chr17:19508244-22158000	SBS2	1	0	1	0	0
229	chr17:19508244-22158000	SBS3	1	0	5	0	0
230	chr17:24849830-27924530	SBS2	1	0	3	0	0
231	chr17:24849830-27924530	SBS3	1	0	9	0	0
232	chr17:27965176-31260174	SBS3	1	0	2	0	0
233	chr17:31269085-33244520	SBS1	1	0	1	0	0
234	chr17:31269085-33244520	SBS13	1	0	1	0	0
235	chr17:31269085-33244520	SBS3	1	0	6	0	0
236	chr17:31269085-33244520	SBS5	1	0	1	0	0
237	chr17:33248728-34904000	SBS3	1	0	2	0	0
238	chr17:34904001-40060743	SBS13	1	0	1	0	0
239	chr17:34904001-40060743	SBS2	1	0	1	0	0
240	chr17:34904001-40060743	SBS3	1	0	5	0	0
241	chr17:40060744-51550000	SBS1	1	0	4	0	0
242	chr17:40060744-51550000	SBS13	1	0	1	0	0
243	chr17:40060744-51550000	SBS2	1	0	5	0	0
244	chr17:40060744-51550000	SBS3	1	0	14	0	0
245	chr17:40060744-51550000	SBS5	1	0	1	0	0
246	chr17:51550001-56637000	SBS3	1	0	8	0	0
247	chr17:56637001-59150254	SBS3	1	0	3	0	0
248	chr17:59150303-83257441	SBS1	1	0	2	0	0
249	chr17:59150303-83257441	SBS13	1	0	5	0	0
250	chr17:59150303-83257441	SBS17b	1	0	1	0	0
251	chr17:59150303-83257441	SBS2	1	0	2	0	0
252	chr17:59150303-83257441	SBS3	1	0	27	0	0
253	chr17:8092835-16524599	SBS2	1	0	1	0	0
254	chr17:8092835-16524599	SBS3	1	0	13	0	0
255	chr18:1-812205	SBS3	2	1	0	2	0
256	chr18:18161053-49441466	SBS1	1	1	2	0	0
257	chr18:18161053-49441466	SBS13	1	1	3	0	0
258	chr18:18161053-49441466	SBS17b	1	1	2	0	0
259	chr18:18161053-49441466	SBS2	1	1	3	0	0
260	chr18:18161053-49441466	SBS3	1	1	43	0	0
261	chr18:18161053-49441466	SBS5	1	1	1	0	0
262	chr18:4547001-18161052	SBS1	1	1	1	0	0
263	chr18:4547001-18161052	SBS13	1	1	1	0	0
264	chr18:4547001-18161052	SBS3	1	1	30	0	0
265	chr18:49441467-58674571	SBS13	1	1	1	0	0
266	chr18:49441467-58674571	SBS3	1	1	14	0	0
267	chr18:58674572-72028968	SBS1	1	1	1	0	0
268	chr18:58674572-72028968	SBS13	1	1	2	0	0
269	chr18:58674572-72028968	SBS2	1	1	1	0	0
270	chr18:58674572-72028968	SBS3	1	1	14	0	0
271	chr18:72032785-80373285	SBS1	1	1	2	0	0
272	chr18:72032785-80373285	SBS13	1	1	2	0	0
273	chr18:72032785-80373285	SBS3	1	1	14	0	0
274	chr18:822776-4547000	SBS1	2	1	0	1	0
275	chr18:822776-4547000	SBS3	2	1	0	4	0
276	chr19:1-12181183	SBS1	1	1	2	0	0
277	chr19:1-12181183	SBS13	1	1	2	0	0
278	chr19:1-12181183	SBS2	1	1	2	0	0
279	chr19:1-12181183	SBS3	1	1	46	0	0
280	chr19:1-12181183	SBS5	1	1	1	0	0
281	chr19:12181409-19413348	SBS1	1	1	1	0	0
282	chr19:12181409-19413348	SBS13	1	1	2	0	0
283	chr19:12181409-19413348	SBS17b	1	1	1	0	0
284	chr19:12181409-19413348	SBS2	1	1	2	0	0
285	chr19:12181409-19413348	SBS3	1	1	15	0	0
286	chr19:19413349-25844926	SBS1	1	1	2	0	0
287	chr19:19413349-25844926	SBS13	1	1	1	0	0
288	chr19:19413349-25844926	SBS2	1	1	1	0	0
289	chr19:19413349-25844926	SBS3	1	1	24	0	0
290	chr19:25844927-32259409	SBS1	1	1	3	0	0
291	chr19:25844927-32259409	SBS13	1	1	1	0	0
292	chr19:25844927-32259409	SBS2	1	1	1	0	0
293	chr19:25844927-32259409	SBS3	1	1	19	0	0
294	chr19:32260946-48051439	SBS1	1	1	2	0	0
295	chr19:32260946-48051439	SBS13	1	1	1	0	0
296	chr19:32260946-48051439	SBS2	1	1	2	0	0
297	chr19:32260946-48051439	SBS3	1	1	51	0	0
298	chr19:32260946-48051439	SBS5	1	1	2	0	0
299	chr19:48061789-49656881	SBS3	1	1	4	0	0
300	chr19:48061789-49656881	SBS5	1	1	1	0	0
301	chr19:49673403-58617616	SBS1	1	1	7	0	0
302	chr19:49673403-58617616	SBS13	1	1	1	0	0
303	chr19:49673403-58617616	SBS2	1	1	5	0	0
304	chr19:49673403-58617616	SBS3	1	1	39	0	0
305	chr19:49673403-58617616	SBS5	1	1	1	0	0
306	chr1:1-4066000	SBS1	2	1	1	0	0
307	chr1:1-4066000	SBS3	2	1	5	6	0
308	chr1:1-4066000	SBS5	2	1	0	1	0
309	chr1:119519001-123605522	SBS3	2	1	2	2	0
310	chr1:123605523-152614000	SBS1	1	1	1	0	0
311	chr1:123605523-152614000	SBS13	1	1	2	0	0
312	chr1:123605523-152614000	SBS2	1	1	1	0	0
313	chr1:123605523-152614000	SBS3	1	1	20	0	0
314	chr1:15070139-24344447	SBS3	1	0	10	0	0
315	chr1:15070139-24344447	SBS5	1	0	1	0	0
316	chr1:152614001-153225000	SBS3	1	1	6	0	0
317	chr1:153225001-155284085	SBS3	1	1	1	0	0
318	chr1:155308723-155686000	SBS3	2	1	1	0	0
319	chr1:155686001-188816991	SBS1	1	1	4	0	0
320	chr1:155686001-188816991	SBS13	1	1	3	0	0
321	chr1:155686001-188816991	SBS17b	1	1	2	0	0
322	chr1:155686001-188816991	SBS2	1	1	5	0	0
323	chr1:155686001-188816991	SBS3	1	1	72	0	0
324	chr1:155686001-188816991	SBS5	1	1	1	0	0
325	chr1:188817040-242521664	SBS1	1	1	6	0	0
326	chr1:188817040-242521664	SBS13	1	1	10	0	0
327	chr1:188817040-242521664	SBS2	1	1	6	0	0
328	chr1:188817040-242521664	SBS3	1	1	72	0	0
329	chr1:242526441-248956422	SBS1	1	1	1	0	0
330	chr1:242526441-248956422	SBS13	1	1	1	0	0
331	chr1:242526441-248956422	SBS3	1	1	11	0	0
332	chr1:242526441-248956422	SBS5	1	1	1	0	0
333	chr1:24344448-29298000	SBS13	1	1	1	0	0
334	chr1:24344448-29298000	SBS2	1	1	1	0	0
335	chr1:24344448-29298000	SBS3	1	1	6	0	0
336	chr1:29298001-30434000	SBS3	1	1	13	0	0
337	chr1:30434001-30801883	SBS3	2	1	1	2	0
338	chr1:30801924-42238588	SBS1	2	1	4	0	0
339	chr1:30801924-42238588	SBS13	2	1	0	2	0
340	chr1:30801924-42238588	SBS17b	2	1	1	1	0
341	chr1:30801924-42238588	SBS2	2	1	1	1	0
342	chr1:30801924-42238588	SBS3	2	1	12	17	0
343	chr1:4066001-5675000	SBS1	1	1	1	0	0
344	chr1:4066001-5675000	SBS2	1	1	1	0	0
345	chr1:4066001-5675000	SBS3	1	1	7	0	0
346	chr1:42327162-59304074	SBS1	2	1	0	4	0
347	chr1:42327162-59304074	SBS13	2	1	1	0	0
348	chr1:42327162-59304074	SBS17b	2	1	0	1	0
349	chr1:42327162-59304074	SBS2	2	1	1	3	0
350	chr1:42327162-59304074	SBS3	2	1	14	19	0
351	chr1:42327162-59304074	SBS5	2	1	1	1	0
352	chr1:5675001-6827000	SBS3	2	1	1	1	0
353	chr1:60178001-61464000	SBS2	3	1	0	1	0
354	chr1:60178001-61464000	SBS3	3	1	2	2	3
355	chr1:61464001-62931501	SBS3	2	1	1	2	0
356	chr1:62931545-63441000	SBS13	2	1	1	0	0
357	chr1:62931545-63441000	SBS3	2	1	0	2	0
358	chr1:63441001-77950000	SBS1	1	1	1	0	0
359	chr1:63441001-77950000	SBS13	1	1	2	0	0
360	chr1:63441001-77950000	SBS2	1	1	2	0	0
361	chr1:63441001-77950000	SBS3	1	1	18	0	0
362	chr1:77950001-119519000	SBS1	1	0	5	0	0
363	chr1:77950001-119519000	SBS13	1	0	2	0	0
364	chr1:77950001-119519000	SBS17b	1	0	3	0	0
365	chr1:77950001-119519000	SBS3	1	0	34	0	0
366	chr1:77950001-119519000	SBS5	1	0	1	0	0
367	chr1:8247839-15060032	SBS1	1	0	2	0	0
368	chr1:8247839-15060032	SBS13	1	0	1	0	0
369	chr1:8247839-15060032	SBS17b	1	0	1	0	0
370	chr1:8247839-15060032	SBS2	1	0	1	0	0
371	chr1:8247839-15060032	SBS3	1	0	6	0	0
372	chr20:1-1519662	SBS2	1	1	2	0	0
373	chr20:1-1519662	SBS3	1	1	2	0	0
374	chr20:14571001-16229525	SBS3	1	1	3	0	0
375	chr20:1525949-6037000	SBS1	1	1	2	0	0
376	chr20:1525949-6037000	SBS2	1	1	2	0	0
377	chr20:1525949-6037000	SBS3	1	1	11	0	0
378	chr20:1525949-6037000	SBS5	1	1	1	0	0
379	chr20:16238104-28237289	SBS1	1	1	2	0	0
380	chr20:16238104-28237289	SBS13	1	1	1	0	0
381	chr20:16238104-28237289	SBS2	1	1	1	0	0
382	chr20:16238104-28237289	SBS3	1	1	24	0	0
383	chr20:28237290-41187418	SBS1	1	1	7	0	0
384	chr20:28237290-41187418	SBS13	1	1	3	0	0
385	chr20:28237290-41187418	SBS17b	1	1	5	0	0
386	chr20:28237290-41187418	SBS2	1	1	6	0	0
387	chr20:28237290-41187418	SBS3	1	1	74	0	0
388	chr20:28237290-41187418	SBS5	1	1	3	0	0
389	chr20:41191357-44181000	SBS3	1	1	5	0	0
390	chr20:44181001-49042000	SBS13	2	1	2	0	0
391	chr20:44181001-49042000	SBS2	2	1	1	2	0
392	chr20:44181001-49042000	SBS3	2	1	1	9	0
393	chr20:49042001-54571000	SBS1	1	1	1	0	0
394	chr20:49042001-54571000	SBS3	1	1	5	0	0
395	chr20:49042001-54571000	SBS5	1	1	1	0	0
396	chr20:54571001-56229000	SBS13	1	1	1	0	0
397	chr20:54571001-56229000	SBS3	1	1	5	0	0
398	chr20:56229001-60365633	SBS1	1	1	1	0	0
399	chr20:56229001-60365633	SBS3	1	1	6	0	0
400	chr20:60365700-61916000	SBS3	1	1	3	0	0
401	chr20:6037001-7724000	SBS3	1	1	7	0	0
402	chr20:61916001-64444167	SBS3	1	1	7	0	0
403	chr20:7838001-14433000	SBS1	1	1	3	0	0
404	chr20:7838001-14433000	SBS13	1	1	1	0	0
405	chr20:7838001-14433000	SBS3	1	1	11	0	0
406	chr21:1-11890183	SBS1	1	1	1	0	0
407	chr21:1-11890183	SBS3	1	1	12	0	0
408	chr21:11890184-19251000	SBS1	1	1	2	0	0
409	chr21:11890184-19251000	SBS3	1	1	15	0	0
410	chr21:11890184-19251000	SBS5	1	1	1	0	0
411	chr21:19251001-20395943	SBS17b	2	1	0	1	0
412	chr21:19251001-20395943	SBS3	2	1	4	0	0
413	chr21:20395944-22859000	SBS3	1	1	1	0	0
414	chr21:20395944-22859000	SBS5	1	1	1	0	0
415	chr21:22859001-46709983	SBS1	2	1	0	3	0
416	chr21:22859001-46709983	SBS13	2	1	2	2	0
417	chr21:22859001-46709983	SBS17b	2	1	0	1	0
418	chr21:22859001-46709983	SBS2	2	1	3	1	0
419	chr21:22859001-46709983	SBS3	2	1	26	28	0
420	chr21:22859001-46709983	SBS5	2	1	1	2	0
421	chr22:1-14004552	SBS13	1	1	1	0	0
422	chr22:1-14004552	SBS2	1	1	1	0	0
423	chr22:1-14004552	SBS3	1	1	25	0	0
424	chr22:1-14004552	SBS5	1	1	1	0	0
425	chr22:14004553-27371941	SBS1	1	1	3	0	0
426	chr22:14004553-27371941	SBS2	1	1	1	0	0
427	chr22:14004553-27371941	SBS3	1	1	25	0	0
428	chr22:14004553-27371941	SBS5	1	1	2	0	0
429	chr22:27371981-32566000	SBS1	1	1	3	0	0
430	chr22:27371981-32566000	SBS3	1	1	8	0	0
431	chr22:32566001-35250000	SBS13	1	1	1	0	0
432	chr22:32566001-35250000	SBS3	1	1	10	0	0
433	chr22:35250001-37564195	SBS3	1	1	3	0	0
434	chr22:37566233-47218000	SBS1	1	1	1	0	0
435	chr22:37566233-47218000	SBS13	1	1	1	0	0
436	chr22:37566233-47218000	SBS2	1	1	1	0	0
437	chr22:37566233-47218000	SBS3	1	1	30	0	0
438	chr22:37566233-47218000	SBS5	1	1	1	0	0
439	chr22:47218001-49589000	SBS2	1	1	1	0	0
440	chr22:47218001-49589000	SBS3	1	1	4	0	0
441	chr22:49589001-50818468	SBS3	1	1	1	0	0
442	chr2:1-14084000	SBS13	1	0	1	0	0
443	chr2:1-14084000	SBS3	1	0	19	0	0
444	chr2:1-14084000	SBS5	1	0	2	0	0
445	chr2:119109415-127576843	SBS1	1	1	1	0	0
446	chr2:119109415-127576843	SBS13	1	1	1	0	0
447	chr2:119109415-127576843	SBS2	1	1	2	0	0
448	chr2:119109415-127576843	SBS3	1	1	10	0	0
449	chr2:127577247-163602871	SBS1	1	1	5	0	0
450	chr2:127577247-163602871	SBS13	1	1	5	0	0
451	chr2:127577247-163602871	SBS2	1	1	8	0	0
452	chr2:127577247-163602871	SBS3	1	1	66	0	0
453	chr2:127577247-163602871	SBS5	1	1	3	0	0
454	chr2:14084001-17362530	SBS17b	2	0	0	1	0
455	chr2:14084001-17362530	SBS3	2	0	6	1	0
456	chr2:163606566-167055206	SBS2	1	1	1	0	0
457	chr2:163606566-167055206	SBS3	1	1	4	0	0
458	chr2:163606566-167055206	SBS5	1	1	3	0	0
459	chr2:167059721-201215829	SBS1	1	1	6	0	0
460	chr2:167059721-201215829	SBS13	1	1	4	0	0
461	chr2:167059721-201215829	SBS2	1	1	4	0	0
462	chr2:167059721-201215829	SBS3	1	1	54	0	0
463	chr2:167059721-201215829	SBS5	1	1	2	0	0
464	chr2:17365607-23809000	SBS1	2	0	2	0	0
465	chr2:17365607-23809000	SBS17b	2	0	1	0	0
466	chr2:17365607-23809000	SBS3	2	0	7	1	0
467	chr2:201287707-211567000	SBS1	1	1	3	0	0
468	chr2:201287707-211567000	SBS13	1	1	1	0	0
469	chr2:201287707-211567000	SBS2	1	1	1	0	0
470	chr2:201287707-211567000	SBS3	1	1	15	0	0
471	chr2:211669001-218152119	SBS17b	1	1	1	0	0
472	chr2:211669001-218152119	SBS2	1	1	1	0	0
473	chr2:211669001-218152119	SBS3	1	1	12	0	0
474	chr2:218152120-242193529	SBS1	1	0	3	0	0
475	chr2:218152120-242193529	SBS13	1	0	2	0	0
476	chr2:218152120-242193529	SBS2	1	0	2	0	0
477	chr2:218152120-242193529	SBS3	1	0	26	0	0
478	chr2:23809001-25104000	SBS3	2	0	1	0	0
479	chr2:25104001-25517082	SBS3	3	0	3	0	0
480	chr2:25517083-32877000	SBS17b	2	0	1	0	0
481	chr2:25517083-32877000	SBS2	2	0	1	0	0
