,segment_id,chromosome,start,end,file_path,t1,t2,t3,t4,t5,t6,t7,averaged,solved,fully_solved,t1_norm,t2_norm,t3_norm,t4_norm,t5_norm,t6_norm,t7_norm,t1_norm_cumsum,t2_norm_cumsum,t3_norm_cumsum,t4_norm_cumsum,t5_norm_cumsum,t6_norm_cumsum,t7_norm_cumsum,major,minor,breakpoints,seg_length
19,chr11:67765204-77845000,chr11,67765204,77845000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_1.1_solutions_downsized.sobj,2.5,0.0,,,,,,False,True,False,1.0,0.0,,,,,,1.0,1.0,,,,,,2,1,"[1.0, 1.0]",10079796
20,chr11:89359641-135086622,chr11,89359641,135086622,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_0.1_solutions_downsized.sobj,4,1/2,,,,,,False,True,False,0.8888888888888888,0.1111111111111111,,,,,,0.8888888888888888,1.0,,,,,,2,0,"[0.8888888888888888, 1.0]",45726981
21,chr12:1-13536848,chr12,1,13536848,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//4_2.5_solutions_downsized.sobj,0.78696079,1.9547002900000001,0.8904919499999999,0.0,0.0,,,False,True,False,0.21666509739541454,0.5381657308640435,0.24516917174054198,0.0,0.0,,,0.21666509739541454,0.754830828259458,1.0,1.0,1.0,,,4,2,"[0.21666509739541454, 0.754830828259458, 1.0, 1.0, 1.0]",13536847
22,chr12:13536849-35977329,chr12,13536849,35977329,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_2.1_solutions_downsized.sobj,1.875,0.25,0.125,,,,,True,True,False,0.8333333333333334,0.1111111111111111,0.05555555555555555,,,,,0.8333333333333334,0.9444444444444444,1.0,,,,,2,2,"[0.8333333333333334, 0.9444444444444444, 1.0]",22440480
23,chr12:39015116-133275309,chr12,39015116,133275309,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_0.1_solutions_downsized.sobj,6,3,,,,,,False,True,False,0.6666666666666666,0.3333333333333333,,,,,,0.6666666666666666,1.0,,,,,,2,0,"[0.6666666666666666, 1.0]",94260193
24,chr13:17025624-73377670,chr13,17025624,73377670,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_0.1_solutions_downsized.sobj,0,7/2,,,,,,False,True,False,0.0,1.0,,,,,,0.0,1.0,,,,,,2,0,"[0.0, 1.0]",56352046
25,chr14:69504782-107043718,chr14,69504782,107043718,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_0.1_solutions_downsized.sobj,5,1/2,,,,,,False,True,False,0.9090909090909091,0.09090909090909091,,,,,,0.9090909090909091,1.0,,,,,,2,0,"[0.9090909090909091, 1.0]",37538936
26,chr15:18362627-75156000,chr15,18362627,75156000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_0.1_solutions_downsized.sobj,5,2,,,,,,False,True,False,0.7142857142857143,0.2857142857142857,,,,,,0.7142857142857143,1.0,,,,,,2,0,"[0.7142857142857143, 1.0]",56793373
27,chr17:1-65333000,chr17,1,65333000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_0.1_solutions_downsized.sobj,6,5/2,,,,,,False,True,False,0.7058823529411765,0.29411764705882354,,,,,,0.7058823529411765,1.0,,,,,,2,0,"[0.7058823529411765, 1.0]",65332999
28,chr19:25844927-46200062,chr19,25844927,46200062,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_2.1_solutions_downsized.sobj,2.375,1.25,0.625,,,,,True,True,False,0.5588235294117647,0.29411764705882354,0.14705882352941177,,,,,0.5588235294117647,0.8529411764705883,1.0,,,,,2,2,"[0.5588235294117647, 0.8529411764705883, 1.0]",20355135
29,chr20:1672740-31388931,chr20,1672740,31388931,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_0.1_solutions_downsized.sobj,4,9/2,,,,,,False,True,False,0.47058823529411764,0.5294117647058824,,,,,,0.47058823529411764,1.0,,,,,,2,0,"[0.47058823529411764, 1.0]",29716191
30,chr20:40482707-57652423,chr20,40482707,57652423,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_2.1_solutions_downsized.sobj,0.25,0.5,0.75,,,,,True,True,False,0.16666666666666666,0.3333333333333333,0.5,,,,,0.16666666666666666,0.5,1.0,,,,,2,2,"[0.16666666666666666, 0.5, 1.0]",17169716
31,chr21:1-38974771,chr21,1,38974771,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_2.1_solutions_downsized.sobj,1.5,1.0,0.5,,,,,True,True,False,0.5,0.3333333333333333,0.16666666666666666,,,,,0.5,0.8333333333333333,0.9999999999999999,,,,,2,2,"[0.5, 0.8333333333333333, 0.9999999999999999]",38974770
32,chr22:14004553-21605320,chr22,14004553,21605320,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_2.1_solutions_downsized.sobj,0.25,0.5,1.25,,,,,True,True,False,0.125,0.25,0.625,,,,,0.125,0.375,1.0,,,,,2,2,"[0.125, 0.375, 1.0]",7600767
